DEBUG:root:('Index: 0', 'SKU: GH-BBM-559', 'image_links: http://www.johnsonwindowfilms.com/images/tints/daylight-natural/dn-35-lg.jpg', 'attachment_links: https://i.imgur.com/5lKC6DM.jpg')
DEBUG:root:('Index: 111', 'SKU: GH-BMM-1093', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_37-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 112', 'SKU: GH-BMM-1094', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_37-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 113', 'SKU: GH-BMM-1095', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_37-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 114', 'SKU: GH-BMM-1096', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_37-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 115', 'SKU: GH-BMM-1097', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_37-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 116', 'SKU: GH-BMM-1098', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_37-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 117', 'SKU: GH-BMM-1099', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_37-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 118', 'SKU: GH-BMM-110', 'image_links: https://i.imgur.com/17O6bJY.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 119', 'SKU: GH-BMM-1100', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_37-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 120', 'SKU: GH-BMM-1101', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_37-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 121', 'SKU: GH-BMM-1102', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_37-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 122', 'SKU: GH-BMM-1103', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_37-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 123', 'SKU: GH-BMM-1104', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_37-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 124', 'SKU: GH-BMM-1105', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_36-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 125', 'SKU: GH-BMM-1106', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_36-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 126', 'SKU: GH-BMM-1107', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_36-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 127', 'SKU: GH-BMM-1108', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_36-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 128', 'SKU: GH-BMM-1109', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_36-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 129', 'SKU: GH-BMM-111', 'image_links: https://i.imgur.com/kAVUqCv.jpeg', 'attachment_links: nan')
DEBUG:root:('Index: 130', 'SKU: GH-BMM-1110', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_36-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 131', 'SKU: GH-BMM-1111', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_36-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 132', 'SKU: GH-BMM-1112', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_36-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 133', 'SKU: GH-BMM-1113', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_36-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 134', 'SKU: GH-BMM-1114', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_36-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 135', 'SKU: GH-BMM-1115', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_36-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 136', 'SKU: GH-BMM-1116', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_36-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 137', 'SKU: GH-BMM-1117', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_36-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 138', 'SKU: GH-BMM-1118', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_36-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 139', 'SKU: GH-BMM-1119', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_36-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 140', 'SKU: GH-BMM-112', 'image_links: https://bax.tools/photos/TAC190501.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 141', 'SKU: GH-BMM-1120', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_36-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 142', 'SKU: GH-BMM-1121', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_36-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 143', 'SKU: GH-BMM-1122', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_36-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 144', 'SKU: GH-BMM-1123', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_36-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 145', 'SKU: GH-BMM-1124', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_36-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 146', 'SKU: GH-BMM-1125', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_36-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 147', 'SKU: GH-BMM-1126', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_36-1.jpg', 'attachment_links: nan')
